# Error in the maximum norm for problem 3
# N increases by sqrt(2) each step
#
# EPS= 1.0E+00
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.21225579557830E-01   0.21225523726040E-01   0.21225579557830E-01   
 0.25000000000000E+00   0.39185567543304E-02   0.39185516039959E-02   0.39185567543304E-02   
 0.12500000000000E+00   0.87614849053982E-03   0.87614932118099E-03   0.87614849053982E-03   
 0.62500000000000E-01   0.21685161351193E-03   0.21685232702221E-03   0.21685161351193E-03   
 0.31250000000000E-01   0.54066917388988E-04   0.54067172796384E-04   0.54066917388988E-04   
 0.15625000000000E-01   0.13503461639097E-04   0.13503597023794E-04   0.13503461639097E-04   
 0.78125000000000E-02   0.33729726838444E-05   0.33730206502331E-05   0.33729726838444E-05   
 0.39062500000000E-02   0.84202873120220E-06   0.84203439246373E-06   0.84202873120220E-06   
 0.19531250000000E-02   0.20991439446053E-06   0.20991639562221E-06   0.20991439446053E-06   
 0.97656250000000E-03   0.52183203506683E-07   0.52183910766765E-07   0.52183203506683E-07   
