# Error in the maximum norm for problem 3
# N increases by sqrt(2) each step
#
# EPS= 1.0E-04
#
#tau                    uniform                Shishkin               Bakhvalov
 0.50000000000000E+00   0.17168146928204E+00   0.17168146928204E+00   0.17168152229100E+00   
 0.25000000000000E+00   0.38914560748392E-01   0.38914560748392E-01   0.38915180986168E-01   
 0.12500000000000E+00   0.97127528383079E-02   0.97127528383079E-02   0.97135544134355E-02   
 0.62500000000000E-01   0.24472083880693E-02   0.24472086926017E-02   0.24477538262508E-02   
 0.31250000000000E-01   0.61468354332811E-03   0.61096851949244E-03   0.61138485523676E-03   
 0.15625000000000E-01   0.22794992388497E-03   0.15291820532635E-03   0.15316211044178E-03   
 0.78125000000000E-02   0.10182470430026E-03   0.41769547341815E-04   0.38348822618705E-04   
 0.39062500000000E-02   0.48698028277879E-04   0.18191370047302E-04   0.96207472010550E-05   
 0.19531250000000E-02   0.23904125800965E-04   0.92126330535349E-05   0.24222476546929E-05   
 0.97656250000000E-03   0.11852835575206E-04   0.48920443666876E-05   0.61418149817384E-06   
